D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12A,D12B,D12C,D13,D14A,D15
D,0,372,,,,,,,,,,,,,,
D,1,372,,,,,,,,,,,,,,
D,3,372,,,,,,,,,,,,,,
D,7,372,,,,,,,,,,,,,,
D,12,1656,,,,,,,,,,,,,,
D,15,1656,,,,,,,,,,,,,,
D,16,1656,,,,,,,,,,,,,,
D,17,1656,,,,,,,,,,,,,,
D,19,1656,,,,,,,,,,,,,,
D,34,1656,,,,,,,,,,,,,,
D,32,1656,,,,,,,,,,,,,,
D,25,1656,,,,,,,,,,,,,,
D,57,1656,,,,,,,,,,,,,,
D,68,1656,,,,,,,,,,,,,,
D,64,1656,,,,,,,,,,,,,,
D,27,1656,,,,,,,,,,,,,,
D,41,700,,,,,,,,,,,,,,
D,71,700,,,,,,,,,,,,,,
D,26,700,,,,,,,,,,,,,,
D,50,700,,,,,,,,,,,,,,
D,21,700,,,,,,,,,,,,,,
D,24,700,,,,,,,,,,,,,,
D,54,700,,,,,,,,,,,,,,
D,37,700,,,,,,,,,,,,,,
D,70,189,,,,,,,,,,,,,,
D,43,710,,,,,,,,,,,,,,
